SeedID,Name,Irrigation_Requirements,Expected_Selling_Price,Comments
E1,Rose,Drip irrigation,12750,Laborum corporis nihil deleniti ab sunt esse.
E10,Lilac,Manual irrigation,15750,Non excepturi omnis cupiditate fugit omnis.
E11,Gardenia,Surface irrigation,300,Totam dolor delectus earum praesentium optio.
E12,Jasmine,Lateral move irrigation,10500,Nulla deleniti architecto voluptas mollitia nam.
E13,Neem,Lateral move irrigation,12150,Expedita laboriosam ratione atque dolore.
E14,SpinachMagnolia,Surface irrigation,18600,Non odio delectus in doloribus eius adipisci.
E15,Hyacinth,Localized irrigation,14100,Illo sunt laboriosam.
E16,Lilly,Localized irrigation,16500,Eos quasi aspernatur perferendis velit.
E17,Potato,Sub-irrigation,10650,Soluta autem sed consequuntur eum quaerat porro.
E18,Tomato,Sub-irrigation,8250,Temporibus non eos quia.
E19,Raddish,Localized irrigation,1800,Repudiandae cum ipsa placeat beatae.
E2,Carnation,Sub-irrigation,3000,Sunt occaecati alias quidem.
E20,Broccoli,Center pivot irrigation,750,Facilis aliquam adipisci possimus vitae tenetur.
E21,Pumpkin,Localized irrigation,16050,Praesentium asperiores fugit inventore corporis.
E22,Onion,Sub-irrigation,450,Assumenda molestias labore quos a sint.
E23,Mango,Manual irrigation,5100,Eaque alias assumenda optio id.
E24,Pepper,Localized irrigation,11250,Id numquam atque earum vitae.
E25,Carrots,Center pivot irrigation,13800,Repellat error ex consectetur natus ad excepturi.
E26,Venus Fly Trap,Center pivot irrigation,15900,Quisquam similique nesciunt voluptas aspernatur.
E27,Cactus,Manual irrigation,13650,Voluptatibus aperiam officia ipsa.
E28,Cauliflower,Surface irrigation,16500,Itaque reiciendis repellendus sapiente tempora earum.
E29,Cabbage,Localized irrigation,1350,Fuga molestiae quisquam totam hic similique.
E3,Tulip,Sub-irrigation,14100,Error porro tempore est qui illo pariatur.
E30,Beetroot,Localized irrigation,10200,Architecto perferendis dolor.
E4,Daisy,Drip irrigation,15750,Beatae optio ducimus aut voluptatum eaque ratione quae.
E5,Sunflower,Center pivot irrigation,11550,Voluptatum perspiciatis assumenda distinctio excepturi odit.
E6,Daffodil,Manual irrigation,1950,Alias quas suscipit suscipit dolorem hic recusandae recusandae.
E7,Gerbera,Surface irrigation,15150,Ab ratione amet quis doloribus eaque eaque.
E8,Orchid,Manual irrigation,4200,Magnam magni consectetur ex neque esse accusantium quaerat.
E9,Iris,Sprinkler irrigation,19200,Voluptas veniam praesentium expedita dolor expedita.
